issue_id,title,start,end,total_reactions,total_comments,new_reactions,new_comments,issue_url
flutter/flutter#71400,"Customizable project structure (platforms)",2024-01-24,2024-02-20,403,21,1,0,https://github.com/flutter/flutter/issues/71400
flutter/flutter#51752,"Reusing state logic is either too verbose or too difficult",2024-01-24,2024-02-20,273,518,1,0,https://github.com/flutter/flutter/issues/51752
flutter/flutter#30736,"Support window size/placement on desktop",2024-01-24,2024-02-20,83,18,1,0,https://github.com/flutter/flutter/issues/30736
flutter/flutter#40682,"Spellcheck on Flutter Web",2024-01-24,2024-02-20,66,19,1,1,https://github.com/flutter/flutter/issues/40682
flutter/flutter#51890,"add screenshot capability to e2e integration tests",2024-01-24,2024-02-20,65,33,1,3,https://github.com/flutter/flutter/issues/51890
flutter/flutter#9688,"Input validator async",2024-01-24,2024-02-20,65,23,1,0,https://github.com/flutter/flutter/issues/9688
flutter/flutter#118498,"[google_maps_flutter] Google maps transition from one page to another is buggy.",2024-01-24,2024-02-20,57,45,1,1,https://github.com/flutter/flutter/issues/118498
flutter/flutter#64106,"Tree shake unused assets",2024-01-24,2024-02-20,45,1,1,0,https://github.com/flutter/flutter/issues/64106
flutter/flutter#97542,"[camera] Support image streams on Windows platform",2024-01-24,2024-02-20,42,15,1,4,https://github.com/flutter/flutter/issues/97542
flutter/flutter#65331,"the wrap widget add a property “maxline” to limit the lines of the widget",2024-01-24,2024-02-20,40,6,1,0,https://github.com/flutter/flutter/issues/65331
flutter/flutter#119207,"Unable receive Platform Channel calls in background isolates",2024-01-24,2024-02-20,37,15,1,0,https://github.com/flutter/flutter/issues/119207
flutter/flutter#64157,"NestedScrollView in DraggableScrollableSheet not working",2024-01-24,2024-02-20,34,21,1,0,https://github.com/flutter/flutter/issues/64157
flutter/flutter#81739,"[flutter_markdown] Support `maxLines` and `overflow`",2024-01-24,2024-02-20,32,5,1,0,https://github.com/flutter/flutter/issues/81739
flutter/flutter#36461,"Different Appbar with same bottomNavigatioBar without nesting Scaffolds",2024-01-24,2024-02-20,33,18,1,1,https://github.com/flutter/flutter/issues/36461
flutter/flutter#63209,"[feature-request] Support pen pressure and pointer kinds on Linux",2024-01-24,2024-02-20,32,3,1,2,https://github.com/flutter/flutter/issues/63209
flutter/flutter#90063,"TextField with lots of text can hang app",2024-01-24,2024-02-20,30,39,1,1,https://github.com/flutter/flutter/issues/90063
flutter/flutter#46233,"Rendering order inside Grid/ListView",2024-01-24,2024-02-20,29,8,1,0,https://github.com/flutter/flutter/issues/46233
flutter/flutter#103386,"☂️ [macOS] Support building engine on Apple Silicon without Rosetta",2024-01-24,2024-02-20,24,8,1,2,https://github.com/flutter/flutter/issues/103386
flutter/flutter#64397,"[video_player] Add Fullscreen for Web",2024-01-24,2024-02-20,19,8,1,0,https://github.com/flutter/flutter/issues/64397
flutter/flutter#75747,"Opt a subtree out of hitTestSelf culling",2024-01-24,2024-02-20,81,81,1,0,https://github.com/flutter/flutter/issues/75747
flutter/flutter#58145,"3D Flutter Api Support",2024-01-24,2024-02-20,79,13,1,0,https://github.com/flutter/flutter/issues/58145
