date,issue_id,title,new_reactions,new_comments,issue_url
2024-02-14,flutter/flutter#75747,"Opt a subtree out of hitTestSelf culling",0,0,https://github.com/flutter/flutter/issues/75747
2024-02-14,flutter/flutter#75823,"Support for ARMv7 (Linux)",0,0,https://github.com/flutter/flutter/issues/75823
2024-02-14,flutter/flutter#78268,"[proposal] Provide a way to change the animation duration of SearchDelegate",0,0,https://github.com/flutter/flutter/issues/78268
2024-02-14,flutter/flutter#80051,"Proposal: Make ScrollPhysics reactive",0,0,https://github.com/flutter/flutter/issues/80051
2024-02-14,flutter/flutter#81169,"[local_auth plugin]: Add option to only use strong biometric authentication systems on Android",0,0,https://github.com/flutter/flutter/issues/81169
2024-02-14,flutter/flutter#87464,"[tools] `Warning: Mapping new ns` lines are printed in the logs during gradlew",0,0,https://github.com/flutter/flutter/issues/87464
2024-02-14,flutter/flutter#87734,"[web] Incomplete sourcemaps",0,0,https://github.com/flutter/flutter/issues/87734
2024-02-14,flutter/flutter#93140,"[web] Remove the iOS 15 text workaround when the webkit bug is fixed",0,0,https://github.com/flutter/flutter/issues/93140
2024-02-14,flutter/flutter#9315,"Would like an example of how to do lazy network fetch and caching with a ListView",0,0,https://github.com/flutter/flutter/issues/9315
2024-02-14,flutter/flutter#95568,"Crashed: com.apple.main-thread EXC_BAD_ACCESS KERN_INVALID_ADDRESS",0,0,https://github.com/flutter/flutter/issues/95568
2024-02-14,flutter/flutter#96186,"[webview_flutter][android] `onPageFinished` is not working properly",0,0,https://github.com/flutter/flutter/issues/96186
2024-02-14,flutter/flutter#97050,"Supporting of in app purchases on Windows Store",0,0,https://github.com/flutter/flutter/issues/97050
2024-02-14,flutter/flutter#9707,"""Lost connection to device"" randomly when not doing anything in particular",0,0,https://github.com/flutter/flutter/issues/9707
2024-02-14,flutter/flutter#97542,"[camera] Support image streams on Windows platform",0,0,https://github.com/flutter/flutter/issues/97542
2024-02-14,flutter/flutter#97544,"SliverWrap widget",0,0,https://github.com/flutter/flutter/issues/97544
2024-02-14,flutter/flutter#97701,"Support maven publish for `flutter build aar`",0,0,https://github.com/flutter/flutter/issues/97701
2024-02-14,flutter/flutter#98572,"Accessibility Focus jumps to Scaffold's AppBar while trying to swipe down or up in a listview",0,0,https://github.com/flutter/flutter/issues/98572
2024-02-14,flutter/flutter#10437,"Do plugins need to know about hot reload and hot restart?",0,0,https://github.com/flutter/flutter/issues/10437
2024-02-14,flutter/flutter#107972,"A KeyRepeatEvent is dispatched, but the state shows that the physical key is not pressed",0,0,https://github.com/flutter/flutter/issues/107972
2024-02-14,flutter/flutter#110658,"coreLibraryDesugaringEnabled  option in android/app/build.gradle causes immediate flutter crash (java.lang.NoSuchMethod) on Android 12L/13 ",0,0,https://github.com/flutter/flutter/issues/110658
2024-02-14,flutter/flutter#112080,"[in_app_purchase] Restore Purchase on IOS 16 Future is Not Completed",0,0,https://github.com/flutter/flutter/issues/112080
2024-02-14,flutter/flutter#112267,"[go_router] Add support for the TabView for more beautiful animation",0,0,https://github.com/flutter/flutter/issues/112267
2024-02-14,flutter/flutter#113279,"SharedPreferences DiskReadViolation: shared preferences do work in UI thread",0,0,https://github.com/flutter/flutter/issues/113279
2024-02-14,flutter/flutter#114620,"Web autofill throw exception when using html InputElement",0,0,https://github.com/flutter/flutter/issues/114620
2024-02-14,flutter/flutter#115310,"`TextTheme` and `DefaultTextStyle` Have Very Unintuitive Interaction",0,0,https://github.com/flutter/flutter/issues/115310
2024-02-14,flutter/flutter#11754,"Allow release mode builds to run on simulators",0,0,https://github.com/flutter/flutter/issues/11754
2024-02-14,flutter/flutter#119398,"[go_router] `routerNeglect` does not seem to work",0,0,https://github.com/flutter/flutter/issues/119398
2024-02-14,flutter/flutter#124330,"Investigate making Material AppBar flexible / adaptive",0,0,https://github.com/flutter/flutter/issues/124330
2024-02-14,flutter/flutter#128870,"How to make ScrollTransitions as in SwiftUI in Flutter",0,0,https://github.com/flutter/flutter/issues/128870
2024-02-14,flutter/flutter#14134,"Add an option to ""flutter test/drive/analyze"" to make output more machine readable",0,0,https://github.com/flutter/flutter/issues/14134
2024-02-14,flutter/flutter#14330,"Code Push / Hot Update / out of band updates",0,0,https://github.com/flutter/flutter/issues/14330
2024-02-14,flutter/flutter#14918,"Calendar, and Datepicker does not support Jalali Calendar",0,0,https://github.com/flutter/flutter/issues/14918
2024-02-14,flutter/flutter#16015,"Align asset storage with underlying platform",0,0,https://github.com/flutter/flutter/issues/16015
2024-02-14,flutter/flutter#17668,"Scrollable.ensureVisible is not useful for items scrolled out of view.",0,0,https://github.com/flutter/flutter/issues/17668
2024-02-14,flutter/flutter#17809,"Support TextSpan in TextFields",0,0,https://github.com/flutter/flutter/issues/17809
2024-02-14,flutter/flutter#18103,"Support search box inside large title nav bar",0,0,https://github.com/flutter/flutter/issues/18103
2024-02-14,flutter/flutter#18232,"Android release build not working with disabled signing",0,0,https://github.com/flutter/flutter/issues/18232
2024-02-14,flutter/flutter#22193,"Testing localized widgets can fail when assets are too big due to race condition",0,0,https://github.com/flutter/flutter/issues/22193
2024-02-14,flutter/flutter#24505,"There is a problem with the animation of TabBar,  animation is trembling",0,0,https://github.com/flutter/flutter/issues/24505
2024-02-14,flutter/flutter#26119,"AnimatedSwitcher should be more customizable",0,0,https://github.com/flutter/flutter/issues/26119
2024-02-14,flutter/flutter#26191,"image_picker plugin should allow generation of thumbnail images",0,0,https://github.com/flutter/flutter/issues/26191
2024-02-14,flutter/flutter#27918,"LastPass doesn't support text fields in Flutter apps",0,0,https://github.com/flutter/flutter/issues/27918
2024-02-14,flutter/flutter#27997,"Flutter test coverage will not report untested files",0,0,https://github.com/flutter/flutter/issues/27997
2024-02-14,flutter/flutter#32115,"Allow to set the logical pixel size programmatically ",0,0,https://github.com/flutter/flutter/issues/32115
2024-02-14,flutter/flutter#33514,"Support data layers, GeoJSON in google maps plugin",0,0,https://github.com/flutter/flutter/issues/33514
2024-02-14,flutter/flutter#34657,"[google_maps_flutter] Add support for custom marker size",0,0,https://github.com/flutter/flutter/issues/34657
2024-02-14,flutter/flutter#34864,"Slight flicker on the screen when loading from app overview on Android",0,0,https://github.com/flutter/flutter/issues/34864
2024-02-14,flutter/flutter#36283,"Can't swipe to dismiss scrollable Bottom Sheet",0,0,https://github.com/flutter/flutter/issues/36283
2024-02-14,flutter/flutter#41737,"Distribute Flutter as a Flatpak",0,0,https://github.com/flutter/flutter/issues/41737
2024-02-14,flutter/flutter#46789,"Improve the indexability (SEO) of Flutter apps on the web ",0,0,https://github.com/flutter/flutter/issues/46789
2024-02-14,flutter/flutter#48464,"When popping a route, controls should reacquire focus without opening the keyboard or scrolling to make visible.",0,0,https://github.com/flutter/flutter/issues/48464
2024-02-14,flutter/flutter#50455,"Failed to xcodebuild against multiple iOS devices: Build service could not start build operation: unknown error while handling message: Could not acquire lock at path `Path(str: "".../DerivedData/.../...-Workspace.lock"")`",0,0,https://github.com/flutter/flutter/issues/50455
2024-02-14,flutter/flutter#50604,"Change backgroundColor of CupertinoActionSheet",0,0,https://github.com/flutter/flutter/issues/50604
2024-02-14,flutter/flutter#50636,"[google_maps_flutter] Plans for adapting Maps SDK Utility Library for google_maps_flutter",0,0,https://github.com/flutter/flutter/issues/50636
2024-02-14,flutter/flutter#51267,"[google_maps_flutter] Please clarify why API KEY in source code is OK",0,0,https://github.com/flutter/flutter/issues/51267
2024-02-14,flutter/flutter#52522,"[in_app_purchase] Support InApp purchase local verification",0,0,https://github.com/flutter/flutter/issues/52522
2024-02-14,flutter/flutter#53059,"Suggestion: decouple more widgets from Android/iOS design guidelines",0,0,https://github.com/flutter/flutter/issues/53059
2024-02-14,flutter/flutter#53628,"Creating Resizable View that resizes when pinch or drag from corners and sides",0,0,https://github.com/flutter/flutter/issues/53628
2024-02-14,flutter/flutter#54059,"Overscrolling outer scrollview / SliverAppBar.stretch does not work in NestedScrollView",0,0,https://github.com/flutter/flutter/issues/54059
2024-02-14,flutter/flutter#54400,"WidgetSpans in RTL text laying out LTR if they occur on the same line",0,0,https://github.com/flutter/flutter/issues/54400
2024-02-14,flutter/flutter#60034,"Add package for SF Symbols 2",0,0,https://github.com/flutter/flutter/issues/60034
2024-02-14,flutter/flutter#62401,"showDatePicker has date format issues when DatePickerEntryMode.input is selected",0,0,https://github.com/flutter/flutter/issues/62401
2024-02-14,flutter/flutter#62597,"[Windows] ☂️  Add support for Arm64 as a target",0,0,https://github.com/flutter/flutter/issues/62597
2024-02-14,flutter/flutter#63389,"PageView : How to change scrolling speed and smoothness",0,0,https://github.com/flutter/flutter/issues/63389
2024-02-14,flutter/flutter#65254,"Export widget as Video",0,0,https://github.com/flutter/flutter/issues/65254
2024-02-14,flutter/flutter#66618,"WebGPU in Flutter",0,0,https://github.com/flutter/flutter/issues/66618
2024-02-14,flutter/flutter#72161," Observatory port timeout on iOS",0,0,https://github.com/flutter/flutter/issues/72161
2024-02-14,flutter/flutter#72364,"[Autofill] Switch to `SecSharedCredentials` on iOS, and explore how we can expose it in the framework",0,0,https://github.com/flutter/flutter/issues/72364
2024-02-14,flutter/flutter#7347,"Request: API for changing the color of status bar",0,0,https://github.com/flutter/flutter/issues/7347
2024-02-14,flutter/flutter#73651,"Landscape Orientation is Wrong Way on iOS",0,0,https://github.com/flutter/flutter/issues/73651
2024-02-14,flutter/flutter#73943,"java.lang.RuntimeException, library ""libflutter.so"" not found. for x86 when building appbundle ",0,0,https://github.com/flutter/flutter/issues/73943
2024-02-14,flutter/flutter#77607,"Expand Flutter SDK document macro comments via an extra CI/CD roll",0,0,https://github.com/flutter/flutter/issues/77607
2024-02-14,flutter/flutter#80303,"Allow RestorationAPI to restore any StatefulWidget at runtime",0,0,https://github.com/flutter/flutter/issues/80303
2024-02-14,flutter/flutter#81720,"Bug: `blockquote` property not being applied in `MarkdownBody`  widget",0,0,https://github.com/flutter/flutter/issues/81720
2024-02-14,flutter/flutter#85203,"[in_app_purchase] Handling ""nothing to restore"" with restorePurchases()",0,0,https://github.com/flutter/flutter/issues/85203
2024-02-14,flutter/flutter#88765,"integration_test missing FlutterDriver.waitFor support",0,0,https://github.com/flutter/flutter/issues/88765
2024-02-14,flutter/flutter#90373,"[Image_picker]: Image gallery opens twice if we choose select photos permission.",0,0,https://github.com/flutter/flutter/issues/90373
2024-02-14,flutter/flutter#102812,"📚 `cupertino` library tracker",0,0,https://github.com/flutter/flutter/issues/102812
2024-02-14,flutter/flutter#103989,"[web] Bug in TextPainter. Assertion failed: !debugNeedsLayout",0,0,https://github.com/flutter/flutter/issues/103989
2024-02-14,flutter/flutter#106612,"Support `flutter build ipa` with manual signing and provisioning profiles",0,0,https://github.com/flutter/flutter/issues/106612
2024-02-14,flutter/flutter#108973,"Support custom ExpansionPanel icon",0,0,https://github.com/flutter/flutter/issues/108973
2024-02-14,flutter/flutter#115751,"Building all integration test targets into a single application binary",0,0,https://github.com/flutter/flutter/issues/115751
2024-02-14,flutter/flutter#116872,"[go_router] Query Parameters are not preserved on `pop`",0,0,https://github.com/flutter/flutter/issues/116872
2024-02-14,flutter/flutter#118709,"Image.asset() doesn't load/render image when descendant of disabled TickerMode widget.",0,0,https://github.com/flutter/flutter/issues/118709
2024-02-14,flutter/flutter#125408,"ModalRoute cannot be dismissed by tap outside the modal when screen reader is turned on",0,0,https://github.com/flutter/flutter/issues/125408
2024-02-14,flutter/flutter#127209,"Add docs for go_router StatefulShellRoute",0,0,https://github.com/flutter/flutter/issues/127209
2024-02-14,flutter/flutter#129640,"Support eye tracking when running on visionOS",0,0,https://github.com/flutter/flutter/issues/129640
2024-02-14,flutter/flutter#129933,"[Flutter-web] Control+MouseWheel should zoom the browser window",0,0,https://github.com/flutter/flutter/issues/129933
2024-02-14,flutter/flutter#14013,"request: better tools for notifying form changes",0,0,https://github.com/flutter/flutter/issues/14013
2024-02-14,flutter/flutter#14591,"Would like an example of using C++ Gl with Flutter",0,0,https://github.com/flutter/flutter/issues/14591
2024-02-14,flutter/flutter#18061,"[video_player] Add RTSP/RTMP support",0,0,https://github.com/flutter/flutter/issues/18061
2024-02-14,flutter/flutter#19830,"Can't resolve symbol io.flutter.plugin dependency",0,0,https://github.com/flutter/flutter/issues/19830
2024-02-14,flutter/flutter#22234,"Provide background Service and WorkManager execution out of the box for Dart execution",0,0,https://github.com/flutter/flutter/issues/22234
2024-02-14,flutter/flutter#22954,"Scrolling content is shown above BoxShadow instead of below it",0,0,https://github.com/flutter/flutter/issues/22954
2024-02-14,flutter/flutter#24286,"Crash on Production App - tgkill",0,0,https://github.com/flutter/flutter/issues/24286
2024-02-14,flutter/flutter#24923,"[video_player] Support DRM content",0,0,https://github.com/flutter/flutter/issues/24923
2024-02-14,flutter/flutter#25232,"Photos are coming up rotated with the camera: ^0.2.6 package on Samsung Devices",0,0,https://github.com/flutter/flutter/issues/25232
2024-02-14,flutter/flutter#26359,"App ignores proxy settings",0,0,https://github.com/flutter/flutter/issues/26359
2024-02-14,flutter/flutter#26863,"[google_maps_flutter] Support marker clustering",0,0,https://github.com/flutter/flutter/issues/26863
2024-02-14,flutter/flutter#28195,"How to use local aar inside flutter plugin?",0,0,https://github.com/flutter/flutter/issues/28195
