id,title,start,end,total_reactions,total_comments,new_reactions,new_comments
[`flutter/flutter#30541`](https://github.com/flutter/flutter/issues/30541),"Space between text and underline",2024-01-24,2024-02-06,106,32,2,0
[`flutter/flutter#123095`](https://github.com/flutter/flutter/issues/123095),"App crash on Android device with type FlutterJNI.nativeUpdateRefreshRate",2024-01-24,2024-02-06,56,34,2,0
[`flutter/flutter#122541`](https://github.com/flutter/flutter/issues/122541),"Flutter web rendering occasionally becomes blurry when page is expanded",2024-01-24,2024-01-28,56,54,2,2
[`flutter/flutter#10647`](https://github.com/flutter/flutter/issues/10647),"Using dart:ui from non-main-thread Isolates crashes",2024-01-24,2024-02-06,53,40,2,2
[`flutter/flutter#51530`](https://github.com/flutter/flutter/issues/51530),"[web]: Support for backend proxy",2024-01-24,2024-02-06,37,17,2,0
[`flutter/flutter#109813`](https://github.com/flutter/flutter/issues/109813),"Flutter app flagged for missing accessibility content labels by Google Play Store",2024-01-24,2024-02-06,16,8,2,1
[`flutter/flutter#37597`](https://github.com/flutter/flutter/issues/37597),"[webview_flutter] Add Windows support",2024-01-24,2024-02-06,268,43,2,0
[`flutter/flutter#45296`](https://github.com/flutter/flutter/issues/45296),"[path_provider] Add support for web",2024-01-24,2024-02-06,228,41,2,0
[`flutter/flutter#77638`](https://github.com/flutter/flutter/issues/77638),"Avoid requiring Visual Studio for Windows development",2024-01-24,2024-02-06,61,52,2,2
[`flutter/flutter#27650`](https://github.com/flutter/flutter/issues/27650),"[camera] Allow controlling the preview and output mirroring",2024-01-24,2024-02-06,35,51,2,0
[`flutter/flutter#47928`](https://github.com/flutter/flutter/issues/47928),"Add Support for tvOS",2024-01-24,2024-02-06,29,21,2,0
[`flutter/flutter#108683`](https://github.com/flutter/flutter/issues/108683),"Add Dropdown support to `FilterChip`",2024-01-24,2024-02-06,26,7,2,1
[`flutter/flutter#111110`](https://github.com/flutter/flutter/issues/111110),"When using `flutter drive`, Flutter's semantics tree doesn't produce virtual Android Views",2024-01-24,2024-02-06,25,16,2,0
[`flutter/flutter#19941`](https://github.com/flutter/flutter/issues/19941),"Return index of the first visible item in ListView",2024-01-24,2024-02-06,198,27,2,0
[`flutter/flutter#52207`](https://github.com/flutter/flutter/issues/52207),"ListView: Poor performance with many variable-extent items + jumpTo (scroll bar, trackpad, mouse wheels)",2024-01-24,2024-02-06,153,109,2,0
[`flutter/flutter#32120`](https://github.com/flutter/flutter/issues/32120),"Add option to smoothly animate stepped mouse scroll deltas",2024-01-24,2024-02-06,130,52,2,1
[`flutter/flutter#112181`](https://github.com/flutter/flutter/issues/112181),"[go_router] Duplicate GlobalKey detected in widget tree when a navigatorKey is used on a nested ShellRoute",2024-01-24,2024-02-06,21,1,2,0
[`flutter/flutter#46789`](https://github.com/flutter/flutter/issues/46789),"Improve the indexability (SEO) of Flutter apps on the web ",2024-01-24,2024-02-06,697,189,2,1
[`flutter/flutter#28901`](https://github.com/flutter/flutter/issues/28901),"Flutter support for Apple Watch",2024-01-24,2024-02-06,238,41,2,2
[`flutter/flutter#39707`](https://github.com/flutter/flutter/issues/39707),"Import multiple Flutter modules in a native app",2024-01-24,2024-02-06,186,41,2,0
[`flutter/flutter#86295`](https://github.com/flutter/flutter/issues/86295),"[integration_test] Allow driving native UI interactions from Dart",2024-01-24,2024-02-06,79,24,2,0
[`flutter/flutter#50890`](https://github.com/flutter/flutter/issues/50890),"How to remove 'I/flutter (13135):' in vscode debug console",2024-01-24,2024-02-06,36,13,2,0
[`flutter/flutter#91318`](https://github.com/flutter/flutter/issues/91318),"[flutter_tools] Refactor Flutter SDK to support installation in read-only directory",2024-01-24,2024-02-06,25,24,2,0
[`flutter/flutter#67283`](https://github.com/flutter/flutter/issues/67283),"Make ""fields"" in FormState not a private member",2024-01-24,2024-02-06,24,3,2,0
[`flutter/flutter#5813`](https://github.com/flutter/flutter/issues/5813),"specify assets that are for development only",2024-01-24,2024-02-06,20,6,2,2
[`flutter/flutter#42560`](https://github.com/flutter/flutter/issues/42560),"Support for sheet presentation style",2024-01-24,2024-02-06,134,45,1,0
[`flutter/flutter#21980`](https://github.com/flutter/flutter/issues/21980),"Dependency Injection for Flutter",2024-01-24,2024-02-06,123,19,1,0
[`flutter/flutter#63323`](https://github.com/flutter/flutter/issues/63323),"Code generation experience needs improvements",2024-01-24,2024-02-06,114,16,1,0
[`flutter/flutter#35042`](https://github.com/flutter/flutter/issues/35042),"Official support for Raspberry PI 4",2024-01-24,2024-02-06,111,10,1,0
[`flutter/flutter#33798`](https://github.com/flutter/flutter/issues/33798),"[iOS 13] new fullscreen stack type route transition",2024-01-24,2024-02-06,97,16,1,0
[`flutter/flutter#102408`](https://github.com/flutter/flutter/issues/102408),"[go_router] Replace redirect with onEnter and onExit",2024-01-24,2024-02-06,65,49,1,1
[`flutter/flutter#38684`](https://github.com/flutter/flutter/issues/38684),"Allow nested hero widgets",2024-01-24,2024-02-06,61,19,1,0
[`flutter/flutter#34138`](https://github.com/flutter/flutter/issues/34138),"[webview_flutter] make height of WebView the height of webpage",2024-01-24,2024-02-06,53,32,1,0
[`flutter/flutter#47030`](https://github.com/flutter/flutter/issues/47030),"[video_player] Videos don't play in Safari/Chrome on iOS ",2024-01-24,2024-02-06,49,100,1,1
[`flutter/flutter#32115`](https://github.com/flutter/flutter/issues/32115),"Allow to set the logical pixel size programmatically ",2024-01-24,2024-02-06,49,44,1,0
[`flutter/flutter#60695`](https://github.com/flutter/flutter/issues/60695),"[google_maps_flutter] Add callback for click on google poi's on the map",2024-01-24,2024-02-06,47,13,1,0
[`flutter/flutter#66618`](https://github.com/flutter/flutter/issues/66618),"WebGPU in Flutter",2024-01-24,2024-02-06,43,1,1,0
